Date,High_BioNTech,Low_BioNTech,Open_BioNTech,Close_BioNTech,Volume_BioNTech,Adj Close_BioNTech,High_Moderna,Low_Moderna,Open_Moderna,Close_Moderna,Volume_Moderna,Adj Close_Moderna,High_Johnson & Johnson,Low_Johnson & Johnson,Open_Johnson & Johnson,Close_Johnson & Johnson,Volume_Johnson & Johnson,Adj Close_Johnson & Johnson,High_Inovio Pharmaceuticals,Low_Inovio Pharmaceuticals,Open_Inovio Pharmaceuticals,Close_Inovio Pharmaceuticals,Volume_Inovio Pharmaceuticals,Adj Close_Inovio Pharmaceuticals,High_Sinovac,Low_Sinovac,Open_Sinovac,Close_Sinovac,Volume_Sinovac,Adj Close_Sinovac,High_Sinopharm,Low_Sinopharm,Open_Sinopharm,Close_Sinopharm,Volume_Sinopharm,Adj Close_Sinopharm,High_Novavax,Low_Novavax,Open_Novavax,Close_Novavax,Volume_Novavax,Adj Close_Novavax,High_Astrazeneca,Low_Astrazeneca,Open_Astrazeneca,Close_Astrazeneca,Volume_Astrazeneca,Adj Close_Astrazeneca
2019-10-10,16.6989994049072,13.0100002288818,16.5,14.2399997711182,2805800,14.2399997711182,14.4099998474121,13.8699998855591,14.1300001144409,14.1599998474121,1343300,14.1599998474121,130.119995117188,128.630004882813,128.949996948242,129.059997558594,5119700,122.50959777832,2.1800000667572,2.05999994277954,2.07999992370605,2.16000008583069,423000,2.16000008583069,6.46999979019165,6.46999979019165,6.46999979019165,6.46999979019165,0,6.46999979019165,3.25,3.25,3.25,3.25,2800,3.04242300987244,4.55999994277954,4.40999984741211,4.46000003814697,4.48000001907349,216900,4.48000001907349,43.7999992370605,43.1599998474121,43.2000007629395,43.5999984741211,6218200,41.2560119628906
2019-10-11,15.3400001525879,13.5,15.3400001525879,13.8199996948242,1364300,13.8199996948242,14.6999998092651,13.9899997711182,14.2399997711182,14.0550003051758,934900,14.0550003051758,132.619995117188,130.820007324219,131.139999389648,131.330001831055,7161400,124.664390563965,2.27999997138977,2.1800000667572,2.1800000667572,2.1800000667572,803300,2.1800000667572,6.46999979019165,6.46999979019165,6.46999979019165,6.46999979019165,0,6.46999979019165,3.25,3.25,3.25,3.25,0,3.04242300987244,4.61999988555908,4.46999979019165,4.53999996185303,4.55999994277954,360400,4.55999994277954,44.1599998474121,43.5400009155273,43.7400016784668,43.5800018310547,3842900,41.2370910644531
2019-10-14,13.9099998474121,12.5249996185303,13.8299999237061,12.75,899100,12.75,14.2700004577637,13.6700000762939,14.1899995803833,13.9300003051758,954300,13.9300003051758,131.360000610352,130.419998168945,131.360000610352,130.720001220703,5700000,124.085350036621,2.21000003814697,2.10999989509583,2.1800000667572,2.13000011444092,286500,2.13000011444092,6.46999979019165,6.46999979019165,6.46999979019165,6.46999979019165,0,6.46999979019165,3.25,3.25,3.25,3.25,0,3.04242300987244,4.88000011444092,4.55000019073486,4.55000019073486,4.69000005722046,371400,4.69000005722046,44.2900009155273,43.8199996948242,43.9900016784668,43.8400001525879,2651700,41.4831123352051
2019-10-15,13,12.5299997329712,12.9899997711182,12.9200000762939,484700,12.9200000762939,14.4499998092651,13.5299997329712,13.9300003051758,14.3299999237061,1153500,14.3299999237061,134.25,132.100006103516,133,132.839996337891,10008800,126.097770690918,2.25,2.11999988555908,2.11999988555908,2.24000000953674,530800,2.24000000953674,6.46999979019165,6.46999979019165,6.46999979019165,6.46999979019165,0,6.46999979019165,3.25,3.25,3.25,3.25,0,3.04242300987244,4.88000011444092,4.75,4.86999988555908,4.82999992370606,511600,4.82999992370606,44.2799987792969,43.6699981689453,43.75,44.2099990844727,2230100,41.8332138061524
2019-10-16,13.8800001144409,12.6099996566772,13.1999998092651,12.9399995803833,524200,12.9399995803833,14.3199996948242,14.0200004577637,14.2700004577637,14.1499996185303,914100,14.1499996185303,136.589996337891,133.800003051758,134.899993896484,135.169998168945,12434200,128.309509277344,2.54999995231628,2.23000001907349,2.24000000953674,2.50999999046326,998400,2.50999999046326,6.46999979019165,6.46999979019165,6.46999979019165,6.46999979019165,0,6.46999979019165,3.25,3.25,3.25,3.25,0,3.04242300987244,4.82999992370606,4.71000003814697,4.80000019073486,4.73999977111816,430100,4.73999977111816,44.0299987792969,43.6300010681152,43.9900016784668,43.7900009155274,1663000,41.4357986450195
2019-10-17,13.4799995422363,12.6750001907349,13.2399997711182,13,413000,13,14.7200002670288,14.1499996185303,14.2299995422363,14.539999961853,1033900,14.539999961853,137.490005493164,135.649993896484,135.960006713867,136.169998168945,8434000,129.258758544922,2.51999998092651,2.25999999046326,2.50999999046326,2.35999989509583,849000,2.35999989509583,6.46999979019165,6.46999979019165,6.46999979019165,6.46999979019165,0,6.46999979019165,3.27999997138977,3.27999997138977,3.27999997138977,3.27999997138977,2600,3.07050681114197,4.78999996185303,4.55000019073486,4.78000020980835,4.63000011444092,424500,4.63000011444092,44.3600006103516,43.9700012207031,44.3199996948242,44.1300010681152,2431500,41.7575225830078
2019-10-18,14.25,13.3000001907349,13.3000001907349,14.1400003433228,231900,14.1400003433228,14.8500003814697,14.0699996948242,14.5,14.8100004196167,1596400,14.8100004196167,134.389999389648,127.699996948242,133.309997558594,127.699996948242,25868700,121.218627929688,2.40000009536743,2.23000001907349,2.33999991416931,2.25,522800,2.25,6.46999979019165,6.46999979019165,6.46999979019165,6.46999979019165,0,6.46999979019165,3.27999997138977,3.27999997138977,3.27999997138977,3.27999997138977,0,3.07050681114197,4.63000011444092,4.38000011444092,4.57999992370606,4.48999977111816,551300,4.48999977111816,44.2099990844727,43.6800003051758,44.1800003051758,43.8699989318848,1650700,41.5114974975586
2019-10-21,16.2800006866455,14.8199996948242,14.9399995803833,16.2800006866455,290000,16.2800006866455,15.5900001525879,14.6599998474121,14.8999996185303,15.5,930900,15.5,129.669998168945,127.059997558594,128.669998168945,128.020004272461,13823600,121.522392272949,2.35999989509583,2.24000000953674,2.26999998092651,2.3199999332428,422300,2.3199999332428,6.46999979019165,6.46999979019165,6.46999979019165,6.46999979019165,0,6.46999979019165,3.29999995231628,3.29999995231628,3.29999995231628,3.29999995231628,300,3.08922934532166,4.55999994277954,4.3600001335144,4.46999979019165,4.40999984741211,341600,4.40999984741211,43.9000015258789,43.6500015258789,43.8699989318848,43.7200012207031,2389900,41.3695602416992
2019-10-22,20.6399993896484,17.0499992370605,17.0499992370605,20.6399993896484,407900,20.6399993896484,16.0900001525879,15.5500001907349,15.5600004196167,15.9200000762939,588500,15.9200000762939,130.539993286133,128.089996337891,128.759994506836,129.199996948242,7613700,122.64249420166,2.41000008583069,2.25,2.33999991416931,2.26999998092651,501900,2.26999998092651,6.46999979019165,6.46999979019165,6.46999979019165,6.46999979019165,0,6.46999979019165,3.29999995231628,3.29999995231628,3.29999995231628,3.29999995231628,0,3.08922934532166,4.51999998092651,4.26000022888184,4.42000007629395,4.34000015258789,395900,4.34000015258789,44.4700012207031,43.8899993896484,44.2200012207031,43.9199981689453,2657000,41.5588035583496
2019-10-23,21.9899997711182,16.7900009155273,21.9500007629395,17.6399993896484,476600,17.6399993896484,17.0100002288818,16.0900001525879,16.1599998474121,16.8999996185303,1512000,16.8999996185303,130.479995727539,129.070007324219,129.660003662109,129.899993896484,6693400,123.306976318359,2.33999991416931,2.23000001907349,2.26999998092651,2.3199999332428,355300,2.3199999332428,6.46999979019165,6.46999979019165,6.46999979019165,6.46999979019165,0,6.46999979019165,3.25,3.25,3.25,3.25,3800,3.04242300987244,4.44000005722046,4.17000007629395,4.3899998664856,4.30000019073486,357000,4.30000019073486,44.7400016784668,44.2799987792969,44.5099983215332,44.689998626709,3684600,42.287410736084
